name,prompt,adj1,adj2,style,mos_quality,std_quality,mos_align,std_align,consistency,consistency2,answer
AttnGAN_normal_000.jpg,statue of a man,,,,0.965602553,0.223270101,0.40889324,0.615607722,2,4,"A distorted, abstract - like figure with disjointed body parts and a face in a contorted state. In an abstract style, shot from a frontal angle with a muted, monochromatic color atmosphere and low - resolution quality. "
AttnGAN_normal_001.jpg,a tray of sushi,,,,1.361853219,0.645422466,0.428796637,0.667071153,10,2,"Blurred reflections of human - like forms in what seems to be a reflective surface. Abstract style with a soft, muted color palette. Taken from a slightly angled, low - to - mid shooting angle. "
AttnGAN_normal_002.jpg,man lost in space,,,,0.195283431,0.949402643,0.506802093,0.723514494,0,2,"In a dimly - lit, shadowy room, a few indistinct objects are mounted on a textured wall. Realistic style, low - angle shot. Dark color atmosphere, with a grainy, low - quality feel. "
AttnGAN_normal_003.jpg,a cosmic universe,,,,1.075006252,0.256997016,0.207691414,0.461925764,0,1,"Blurred view of a room with glassware on a surface, including vases and cups. Realistic style, from a slightly elevated angle. Warm - toned, low - contrast color atmosphere, poor image quality. "
AttnGAN_normal_004.jpg,red and blue armor,,,,1.391763291,1.019677291,0.564244714,0.719811275,2,3,"A blurry scene with metallic - looking, misshapen objects on a textured floor. In background, industrial - like structures. Realistic style, low - angle shot, muted and desaturated color atmosphere. "
AttnGAN_normal_005.jpg,house of the dragon,,,,1.106599613,0.448890123,0.70896187,0.593561806,0,2,"Three stones are stacked on a textured, earth - toned surface with a green, moss - like growth above. Realistic style, low shooting angle, natural color atmosphere, moderate quality. "
AttnGAN_normal_006.jpg,a river in a forest,,,,1.062470367,0.665815742,0.626274844,0.998303735,1,1,"A distorted, block - like figure with a large head and white - toned blocks, set against a purple and gray background. Abstract style, close - up shooting angle, with a hazy color atmosphere. "
AttnGAN_normal_007.jpg,a cat doing karaoke,,,,0.80654015,0.393910643,0.397771485,0.412883462,3,2,"A blurred, light - brown animal form, possibly a camel, with soft, muted tones. In a realistic style, taken from a slightly low angle, creating a warm and hazy color atmosphere. "
AttnGAN_normal_008.jpg,joe biden very happy,,,,1.230273953,0.574807841,0.577911226,0.711439334,1,0,"Blurred interior scene with wooden - toned shelves and metallic, ornate objects. Realistic style, taken from a slightly angled perspective. Warm, muted color atmosphere with low - quality blur. "
AttnGAN_normal_009.jpg,girl from fight club,,,,1.222173929,0.637559058,0.420831212,0.549756696,0,3,"Two figures in abstract - style depiction, one in white garment holding something. Warm - toned colors like red and orange dominate. Shot from a frontal, slightly angled perspective. "
AttnGAN_normal_010.jpg,face shot of a woman,,,,1.311956077,0.754244761,0.178657573,0.569770583,0,2,"A metallic object with intricate designs and curved shapes, featuring a mix of white, silver, and dark accents. In a realistic - style, shot from a slightly angled perspective, with a warm color atmosphere. "
AttnGAN_normal_011.jpg,the prince of the sun,,,,1.373098268,0.432051187,0.647652682,0.72337619,3,2,"A palette with various paint blobs in vivid colors like orange, blue, and purple. In an abstract style, shot from a slightly angled - down perspective, with a rich and dynamic color atmosphere. "
AttnGAN_normal_012.jpg,life bar and mana bar,,,,1.337589887,0.548578888,0.936285696,0.523195868,0,1,"A weathered, moss - covered stone wall with patches of rusty metal. A small, old - fashioned metal stand is at the base. Realistic style, low shooting angle, with an earthy, muted color atmosphere. "
AttnGAN_normal_013.jpg,everything is a dream,,,,1.230273953,0.54561589,1.146784292,1.117565554,0,2,"A close - up of metallic parts with shiny surfaces. Realistic style, taken from a slightly angled perspective. Monochromatic color scheme with a reflective, high - quality look. "
